# "IdentifyDiamond.counts.HEX_DIAMOND_FIRST_NEIGHBOR" "IdentifyDiamond.counts.HEX_DIAMOND_SECOND_NEIGHBOR" "IdentifyDiamond.counts.OTHER" "Frame" "IdentifyDiamond.counts.CUBIC_DIAMOND" "IdentifyDiamond.counts.CUBIC_DIAMOND_FIRST_NEIGHBOR" "IdentifyDiamond.counts.CUBIC_DIAMOND_SECOND_NEIGHBOR" "IdentifyDiamond.counts.HEX_DIAMOND" "SourceFrame" "Timestep"
0 0 199 357 1 4 12 0 357 2235700 
0 0 199 358 1 4 12 0 358 2235800 
0 0 199 359 1 4 12 0 359 2235900 
0 0 199 360 1 4 12 0 360 2236000 
0 0 216 361 0 0 0 0 361 2236100 
0 0 199 362 1 4 12 0 362 2236200 
0 0 199 363 1 4 12 0 363 2236300 
0 0 216 364 0 0 0 0 364 2236400 
0 0 216 365 0 0 0 0 365 2236500 
0 0 199 366 1 4 12 0 366 2236600 
0 0 199 367 1 4 12 0 367 2236700 
0 0 216 368 0 0 0 0 368 2236800 
0 0 199 369 1 4 12 0 369 2236900 
0 0 199 370 1 4 12 0 370 2237000 
0 0 216 371 0 0 0 0 371 2237100 
0 0 199 372 1 4 12 0 372 2237200 
0 0 199 373 1 4 12 0 373 2237300 
0 0 199 374 1 4 12 0 374 2237400 
0 0 216 375 0 0 0 0 375 2237500 
0 0 199 376 1 4 12 0 376 2237600 
0 0 199 377 1 4 12 0 377 2237700 
0 0 199 378 1 4 12 0 378 2237800 
0 0 199 379 1 4 12 0 379 2237900 
0 0 199 380 1 4 12 0 380 2238000 
0 0 216 381 0 0 0 0 381 2238100 
0 0 199 382 1 4 12 0 382 2238200 
0 0 216 383 0 0 0 0 383 2238300 
0 0 199 384 1 4 12 0 384 2238400 
0 0 199 385 1 4 12 0 385 2238500 
0 0 216 386 0 0 0 0 386 2238600 
0 0 216 387 0 0 0 0 387 2238700 
0 0 216 388 0 0 0 0 388 2238800 
0 0 216 389 0 0 0 0 389 2238900 
0 0 199 390 1 4 12 0 390 2239000 
0 0 216 391 0 0 0 0 391 2239100 
0 0 216 392 0 0 0 0 392 2239200 
0 0 216 393 0 0 0 0 393 2239300 
0 0 199 394 1 4 12 0 394 2239400 
0 0 216 395 0 0 0 0 395 2239500 
0 0 216 396 0 0 0 0 396 2239600 
0 0 199 397 1 4 12 0 397 2239700 
0 0 216 398 0 0 0 0 398 2239800 
0 0 199 399 1 4 12 0 399 2239900 
0 0 216 400 0 0 0 0 400 2240000 
0 0 199 401 1 4 12 0 401 2240100 
0 0 199 402 1 4 12 0 402 2240200 
0 0 199 403 1 4 12 0 403 2240300 
0 0 199 404 1 4 12 0 404 2240400 
0 0 199 405 1 4 12 0 405 2240500 
0 0 199 406 1 4 12 0 406 2240600 
0 0 216 407 0 0 0 0 407 2240700 
0 0 216 408 0 0 0 0 408 2240800 
0 0 216 409 0 0 0 0 409 2240900 
0 0 216 410 0 0 0 0 410 2241000 
0 0 199 411 1 4 12 0 411 2241100 
0 0 216 412 0 0 0 0 412 2241200 
0 0 199 413 1 4 12 0 413 2241300 
0 0 199 414 1 4 12 0 414 2241400 
0 0 199 415 1 4 12 0 415 2241500 
0 0 216 416 0 0 0 0 416 2241600 
0 0 199 417 1 4 12 0 417 2241700 
0 0 199 418 1 4 12 0 418 2241800 
0 0 216 419 0 0 0 0 419 2241900 
0 0 199 420 1 4 12 0 420 2242000 
0 0 216 421 0 0 0 0 421 2242100 
0 0 216 422 0 0 0 0 422 2242200 
0 0 199 423 1 4 12 0 423 2242300 
0 0 199 424 1 4 12 0 424 2242400 
0 0 199 425 1 4 12 0 425 2242500 
0 0 216 426 0 0 0 0 426 2242600 
0 0 199 427 1 4 12 0 427 2242700 
0 0 199 428 1 4 12 0 428 2242800 
0 0 216 429 0 0 0 0 429 2242900 
4 12 182 430 1 4 12 1 430 2243000 
0 0 199 431 1 4 12 0 431 2243100 
0 0 199 432 1 4 12 0 432 2243200 
0 0 199 433 1 4 12 0 433 2243300 
0 0 216 434 0 0 0 0 434 2243400 
0 0 216 435 0 0 0 0 435 2243500 
0 0 216 436 0 0 0 0 436 2243600 
0 0 199 437 1 4 12 0 437 2243700 
0 0 216 438 0 0 0 0 438 2243800 
0 0 199 439 1 4 12 0 439 2243900 
0 0 199 440 1 4 12 0 440 2244000 
0 0 199 441 1 4 12 0 441 2244100 
0 0 216 442 0 0 0 0 442 2244200 
0 0 199 443 1 4 12 0 443 2244300 
0 0 216 444 0 0 0 0 444 2244400 
0 0 199 445 1 4 12 0 445 2244500 
0 0 216 446 0 0 0 0 446 2244600 
0 0 199 447 1 4 12 0 447 2244700 
0 0 199 448 1 4 12 0 448 2244800 
0 0 199 449 1 4 12 0 449 2244900 
0 0 199 450 1 4 12 0 450 2245000 
0 0 199 451 1 4 12 0 451 2245100 
0 0 216 452 0 0 0 0 452 2245200 
0 0 199 453 1 4 12 0 453 2245300 
0 0 199 454 1 4 12 0 454 2245400 
0 0 199 455 1 4 12 0 455 2245500 
0 0 199 456 1 4 12 0 456 2245600 
0 0 216 457 0 0 0 0 457 2245700 
0 0 199 458 1 4 12 0 458 2245800 
0 0 199 459 1 4 12 0 459 2245900 
0 0 216 460 0 0 0 0 460 2246000 
0 0 199 461 1 4 12 0 461 2246100 
0 0 216 462 0 0 0 0 462 2246200 
0 0 199 463 1 4 12 0 463 2246300 
0 0 199 464 1 4 12 0 464 2246400 
0 0 199 465 1 4 12 0 465 2246500 
0 0 216 466 0 0 0 0 466 2246600 
0 0 216 467 0 0 0 0 467 2246700 
0 0 199 468 1 4 12 0 468 2246800 
0 0 216 469 0 0 0 0 469 2246900 
0 0 199 470 1 4 12 0 470 2247000 
0 0 199 471 1 4 12 0 471 2247100 
0 0 216 472 0 0 0 0 472 2247200 
0 0 199 473 1 4 12 0 473 2247300 
0 0 216 474 0 0 0 0 474 2247400 
0 0 199 475 1 4 12 0 475 2247500 
0 0 199 476 1 4 12 0 476 2247600 
0 0 199 477 1 4 12 0 477 2247700 
0 0 199 478 1 4 12 0 478 2247800 
0 0 216 479 0 0 0 0 479 2247900 
0 0 199 480 1 4 12 0 480 2248000 
0 0 199 481 1 4 12 0 481 2248100 
0 0 199 482 1 4 12 0 482 2248200 
0 0 216 483 0 0 0 0 483 2248300 
0 0 199 484 1 4 12 0 484 2248400 
0 0 199 485 1 4 12 0 485 2248500 
0 0 199 486 1 4 12 0 486 2248600 
0 0 199 487 1 4 12 0 487 2248700 
0 0 216 488 0 0 0 0 488 2248800 
0 0 199 489 1 4 12 0 489 2248900 
0 0 216 490 0 0 0 0 490 2249000 
0 0 216 491 0 0 0 0 491 2249100 
0 0 199 492 1 4 12 0 492 2249200 
0 0 199 493 1 4 12 0 493 2249300 
0 0 216 494 0 0 0 0 494 2249400 
0 0 199 495 1 4 12 0 495 2249500 
0 0 216 496 0 0 0 0 496 2249600 
0 0 199 497 1 4 12 0 497 2249700 
0 0 216 498 0 0 0 0 498 2249800 
0 0 199 499 1 4 12 0 499 2249900 
0 0 216 500 0 0 0 0 500 2250000 
0 0 199 501 1 4 12 0 501 2250100 
0 0 199 502 1 4 12 0 502 2250200 
0 0 199 503 1 4 12 0 503 2250300 
0 0 216 504 0 0 0 0 504 2250400 
0 0 199 505 1 4 12 0 505 2250500 
0 0 216 506 0 0 0 0 506 2250600 
0 0 199 507 1 4 12 0 507 2250700 
0 0 216 508 0 0 0 0 508 2250800 
0 0 199 509 1 4 12 0 509 2250900 
0 0 216 510 0 0 0 0 510 2251000 
0 0 199 511 1 4 12 0 511 2251100 
0 0 199 512 1 4 12 0 512 2251200 
0 0 199 513 1 4 12 0 513 2251300 
0 0 199 514 1 4 12 0 514 2251400 
0 0 216 515 0 0 0 0 515 2251500 
0 0 199 516 1 4 12 0 516 2251600 
0 0 199 517 1 4 12 0 517 2251700 
0 0 216 518 0 0 0 0 518 2251800 
0 0 216 519 0 0 0 0 519 2251900 
0 0 199 520 1 4 12 0 520 2252000 
0 0 199 521 1 4 12 0 521 2252100 
0 0 216 522 0 0 0 0 522 2252200 
0 0 199 523 1 4 12 0 523 2252300 
0 0 199 524 1 4 12 0 524 2252400 
0 0 199 525 1 4 12 0 525 2252500 
0 0 216 526 0 0 0 0 526 2252600 
0 0 199 527 1 4 12 0 527 2252700 
0 0 216 528 0 0 0 0 528 2252800 
0 0 199 529 1 4 12 0 529 2252900 
0 0 199 530 1 4 12 0 530 2253000 
0 0 216 531 0 0 0 0 531 2253100 
0 0 199 532 1 4 12 0 532 2253200 
0 0 216 533 0 0 0 0 533 2253300 
0 0 216 534 0 0 0 0 534 2253400 
0 0 199 535 1 4 12 0 535 2253500 
0 0 199 536 1 4 12 0 536 2253600 
0 0 199 537 1 4 12 0 537 2253700 
0 0 216 538 0 0 0 0 538 2253800 
0 0 199 539 1 4 12 0 539 2253900 
0 0 199 540 1 4 12 0 540 2254000 
0 0 199 541 1 4 12 0 541 2254100 
0 0 216 542 0 0 0 0 542 2254200 
0 0 199 543 1 4 12 0 543 2254300 
0 0 216 544 0 0 0 0 544 2254400 
0 0 199 545 1 4 12 0 545 2254500 
0 0 216 546 0 0 0 0 546 2254600 
0 0 199 547 1 4 12 0 547 2254700 
4 12 199 548 0 0 0 1 548 2254800 
0 0 199 549 1 4 12 0 549 2254900 
0 0 199 550 1 4 12 0 550 2255000 
0 0 216 551 0 0 0 0 551 2255100 
0 0 199 552 1 4 12 0 552 2255200 
